MONTH,Control Customers,Control 5% Confidence Interval,Control 95% Confidence Interval,Trial Customers
2018-07-01,44.78823529411765,41.307576285852356,48.26889430238294,51
2018-08-01,49.55294117647058,45.70199929498558,53.40388305795558,45
2018-09-01,41.92941176470588,38.67092248037242,45.18790104903935,36
2018-10-01,43.83529411764706,40.42869168402571,47.24189655126841,40
2018-11-01,55.27058823529411,50.97530690594546,59.56586956464277,49
2018-12-01,49.55294117647058,45.70199929498558,53.40388305795558,56
2019-01-01,39.07058823529412,36.03426867489248,42.106907795695754,47
2019-02-01,40.023529411764706,36.91315327671913,43.13390554681028,46
2019-03-01,46.69411764705882,43.065345489505646,50.32288980461199,61
2019-04-01,45.74117647058823,42.186460887679,49.29589205349746,50
2019-05-01,40.976470588235294,37.79203787854577,44.16090329792482,49
2019-06-01,41.92941176470588,38.67092248037242,45.18790104903935,48
